OrderDate,OrderID,DeliveryDate,CustomerID,Location,Zone,DeliveryType,ProductCategory,SubCategory,Product,UnitPrice,ShippingFee,OrderQuantity,SalePrice,Status,Rating,Reason,Customer_age,Delivery_days
2015-12-18,18,2016-01-05,137,Ashanti,Central,Standard Delivery,Fashion,Clothing,Men's Denim Jacket,1448.01,38.89,2,2934.91,Returned,1,Arrived Late,42,18
2020-08-19,19,2020-09-04,408,Greater Accra,South,Shipped from Abroad,Electronics,Smartwatches,Samsung Galaxy Watch 3,957.66,29.46,5,4817.76,Delivered,1,,49,16
2019-11-01,20,2019-11-06,852,Oti,Central,Standard Delivery,Health and beauty,Personal Care,Aichun Beauty Essential Oil,353.27,28.06,2,734.6,Delivered,2,,52,5
2018-03-04,21,2018-03-17,534,Greater Accra,West,Shipped from Abroad,Phones and Tablet,Tablets,iPad Air 4th Gen,407.92,11.28,4,1642.96,Delivered,4,,52,13
2015-05-10,22,2015-05-27,753,Greater Accra,East,Express,Phones and Tablet,Mobile phones,Samsung Galaxy A02,181.11,29.49,4,753.93,Returned,2,Defective,33,17
2016-10-26,23,2016-11-12,463,Weija,Central,Express,Fashion,Clothing,Men's Denim Jacket,1301.17,20.33,4,5225.01,Returned,1,Arrived Late,55,17
2018-06-14,24,2018-07-01,843,Ashanti,Central,Standard Delivery,Home and Office,Furniture,8 Cubes Plastic Wardrobe,792.24,25.01,1,817.25,Delivered,5,,18,17
2017-09-20,25,2017-10-01,920,Upper East,North,Shipped from Abroad,Phones and Tablet,Mobile phones,Samsung Galaxy A02,1024.43,31.19,2,2080.05,Delivered,2,,50,11
2015-05-27,26,2015-06-14,708,Western,West,Express,Home and Office,Furniture,Ergonomic Office Chair,33.16,37.86,5,203.66,Delivered,3,,49,18
2015-04-04,27,2015-04-17,449,Weija,East,Standard Delivery,Health and beauty,Personal Care,Aichun Beauty Essential Oil,915.1,32.27,1,947.37,Delivered,4,,39,13
2015-09-29,28,2015-10-13,166,Oti,South,Standard Delivery,Electronics,Home Theatre,Sony 5.1 Home Theatre,1424.11,34.15,4,5730.59,Delivered,4,,36,14
2017-09-19,29,2017-10-01,866,Volta,North,Express,Fashion,Accessories,Leather Wallet,594.28,24.76,1,619.04,Delivered,4,,50,12
2018-07-25,30,2018-07-29,523,Western,North,Shipped from Abroad,Home and Office,Stationery,Parker Pen,66.92,16.9,3,217.66,Delivered,2,,29,4
2018-05-14,31,2018-05-28,393,Weija,North,Standard Delivery,Phones and Tablet,Tablets,iPad Air 4th Gen,891.41,31.63,4,3597.27,Delivered,4,,30,14
2016-12-17,32,2017-01-01,256,Western,South,Standard Delivery,Phones and Tablet,Mobile phones,iPhone 12,1409.76,34.94,4,5673.98,Returned,1,Arrived Late,67,15
2019-01-24,33,2019-02-01,302,Oti,North,Standard Delivery,Electronics,Smartwatches,Apple Watch Series 6,862.07,45.24,4,3493.52,Delivered,3,,27,8
2015-04-13,34,2015-04-21,498,Western,Central,Standard Delivery,Fashion,Shoes,Adidas Ultraboost,1179.18,33.77,1,1212.95,Delivered,3,,70,8
2018-04-17,35,2018-04-29,452,Volta,West,Shipped from Abroad,Health and beauty,Makeup,Maybelline Foundation,857.42,26.93,3,2599.19,Delivered,2,,60,12
2017-03-19,36,2017-04-05,729,Greater Accra,East,Standard Delivery,Electronics,Digital Cameras,Canon EOS 600D 18MP CMOS DSLR,52.36,37.38,4,246.82,Delivered,2,,61,17
2016-07-14,37,2016-07-16,596,Oti,Central,Shipped from Abroad,Electronics,Smartwatches,Samsung Galaxy Watch 3,1136.44,32.7,1,1169.14,Delivered,2,,62,2
2016-06-27,38,2016-07-05,877,Western,South,Express,Fashion,Clothing,Men's Denim Jacket,1375.27,42.73,2,2793.27,Returned,1,Changed Mind,51,8
2019-01-26,39,2019-02-10,705,Volta,West,Express,Electronics,Digital Cameras,Canon EOS 600D 18MP CMOS DSLR,387.07,40.61,4,1588.89,Cancelled,1,Arrived Late,39,15
2016-03-09,40,2016-03-15,426,Upper East,West,Express,Fashion,Accessories,Leather Wallet,363.06,16.12,3,1105.3,Delivered,1,,54,6
2015-12-14,41,2015-12-23,687,Ashanti,East,Standard Delivery,Electronics,Smartwatches,Samsung Galaxy Watch 3,641.71,8.93,1,650.64,Delivered,2,,36,9
2019-01-13,42,2019-01-15,619,Upper East,North,Shipped from Abroad,Fashion,Shoes,Nike Air Max,961.64,27.5,3,2912.42,Delivered,4,,22,2
2019-09-13,43,2019-09-17,912,Oti,West,Express,Fashion,Accessories,Polarized Sunglasses,1327.0,16.87,2,2670.87,Returned,1,Defective,37,4
2016-04-11,44,2016-04-20,726,Weija,West,Shipped from Abroad,Health and beauty,Makeup,Maybelline Foundation,220.17,35.18,5,1136.03,Delivered,2,,27,9
2017-12-05,45,2017-12-19,380,Volta,South,Standard Delivery,Home and Office,Furniture,Ergonomic Office Chair,1217.69,17.42,4,4888.18,Returned,1,Arrived Late,38,14
2017-08-12,46,2017-08-20,435,Western,West,Shipped from Abroad,Electronics,Digital Cameras,Canon EOS 600D 18MP CMOS DSLR,285.8,7.15,4,1150.35,Delivered,3,,59,8
2015-03-12,47,2015-03-25,151,Ashanti,South,Shipped from Abroad,Health and beauty,Makeup,MAC Lipstick,397.04,24.63,5,2009.83,Cancelled,2,Changed Mind,30,13
2015-01-05,48,2015-01-25,196,Upper East,North,Shipped from Abroad,Phones and Tablet,Mobile phones,Samsung Galaxy A02,121.2,44.01,2,286.41,Delivered,5,,35,20
2016-11-03,49,2016-11-19,325,Volta,East,Standard Delivery,Health and beauty,Makeup,MAC Lipstick,752.46,37.07,4,3046.91,Returned,2,Changed Mind,22,16
2019-10-22,50,2019-11-04,238,Oti,South,Express,Phones and Tablet,Mobile phones,Infinix Smart HD X612,602.94,46.39,5,3061.09,Returned,2,Arrived Late,44,13
2019-05-18,51,2019-05-25,949,Oti,North,Shipped from Abroad,Home and Office,Furniture,8 Cubes Plastic Wardrobe,983.59,11.38,4,3945.74,Delivered,3,,33,7
2018-12-09,52,2018-12-25,319,Weija,Central,Express,Fashion,Accessories,Leather Wallet,1490.55,18.71,5,7471.46,Delivered,1,,22,16
2016-11-05,53,2016-11-20,203,Volta,Central,Standard Delivery,Phones and Tablet,Tablets,Amazon Fire HD 8 Kids Tablet,1176.55,37.75,3,3567.4,Delivered,2,,64,15
2016-12-05,54,2016-12-25,549,Ashanti,West,Express,Fashion,Accessories,Polarized Sunglasses,331.62,32.3,1,363.92,Delivered,3,,34,20
2017-09-08,55,2017-09-16,493,Oti,Central,Standard Delivery,Health and beauty,Makeup,MAC Lipstick,700.0,28.85,5,3528.85,Delivered,4,,28,8
2015-04-16,56,2015-04-19,707,Weija,Central,Express,Fashion,Accessories,Polarized Sunglasses,1325.98,11.97,2,2663.93,Delivered,4,,32,3
2017-03-27,57,2017-03-29,992,Upper East,West,Standard Delivery,Health and beauty,Makeup,Maybelline Foundation,605.89,42.98,2,1254.76,Returned,1,Arrived Late,53,2
2016-12-08,58,2016-12-10,507,Western,East,Standard Delivery,Phones and Tablet,Tablets,Amazon Fire HD 8 Kids Tablet,1050.91,30.35,2,2132.17,Returned,2,Arrived Late,70,2
2016-07-10,59,2016-07-18,335,Western,South,Standard Delivery,Electronics,Home Theatre,LG Soundbar,304.95,36.2,2,646.1,Delivered,4,,32,8
2016-06-22,60,2016-07-12,871,Upper East,South,Shipped from Abroad,Electronics,Smartwatches,Samsung Galaxy Watch 3,184.67,49.8,4,788.48,Delivered,2,,47,20
2018-02-28,61,2018-03-14,235,Volta,North,Shipped from Abroad,Phones and Tablet,Tablets,iPad Air 4th Gen,867.95,48.34,5,4388.09,Delivered,1,,40,14
2017-12-21,62,2017-12-27,209,Western,West,Express,Health and beauty,Personal Care,Avon Soft Musk Spray,217.31,14.99,1,232.3,Delivered,3,,68,6
2019-08-30,63,2019-09-15,617,Weija,South,Standard Delivery,Electronics,Smartwatches,Samsung Galaxy Watch 3,48.27,47.77,4,240.85,Delivered,1,,53,16
2019-09-20,64,2019-10-09,483,Upper East,East,Express,Home and Office,Stationery,Moleskine Notebook,1434.76,36.19,1,1470.95,Delivered,1,,29,19
2019-03-12,65,2019-03-23,506,Greater Accra,North,Shipped from Abroad,Phones and Tablet,Tablets,iPad Air 4th Gen,1156.4,9.09,4,4634.69,Returned,1,Arrived Late,60,11
2020-11-13,66,2020-11-25,721,Volta,West,Shipped from Abroad,Phones and Tablet,Mobile phones,iPhone 12,1298.53,22.03,2,2619.09,Delivered,3,,57,12
2016-02-28,67,2016-03-08,793,Weija,Central,Standard Delivery,Home and Office,Stationery,Moleskine Notebook,785.66,36.27,5,3964.57,Returned,1,Arrived Late,24,9
2015-08-01,68,2015-08-17,439,Greater Accra,East,Standard Delivery,Fashion,Accessories,Leather Wallet,1163.27,16.3,4,4669.38,Delivered,5,,67,16
2015-12-09,69,2015-12-19,332,Weija,West,Standard Delivery,Health and beauty,Makeup,Maybelline Foundation,1000.51,44.5,3,3046.03,Returned,1,Not as expected,36,10
2018-08-28,70,2018-09-12,553,Weija,South,Standard Delivery,Phones and Tablet,Tablets,iPad Air 4th Gen,1238.62,29.52,2,2506.76,Delivered,4,,59,15
2018-09-25,71,2018-10-04,838,Western,East,Express,Health and beauty,Makeup,Maybelline Foundation,153.63,29.06,2,336.32,Delivered,4,,29,9
2018-05-13,72,2018-05-16,276,Weija,North,Express,Health and beauty,Personal Care,Aichun Beauty Essential Oil,1387.0,38.9,5,6973.9,Delivered,1,,35,3
2017-02-10,73,2017-02-19,184,Weija,North,Standard Delivery,Home and Office,Stationery,Parker Pen,702.47,29.72,2,1434.66,Delivered,2,,37,9
2018-12-03,74,2018-12-10,159,Western,North,Standard Delivery,Fashion,Accessories,Leather Wallet,740.15,12.28,3,2232.73,Returned,1,Changed Mind,49,7
2019-12-29,75,2020-01-10,880,Ashanti,South,Standard Delivery,Electronics,Home Theatre,LG Soundbar,688.96,7.63,1,696.59,Delivered,3,,70,12
2017-12-29,76,2018-01-06,730,Greater Accra,East,Shipped from Abroad,Home and Office,Furniture,Ergonomic Office Chair,577.4,38.9,5,2925.9,Delivered,3,,56,8
2016-05-08,77,2016-05-17,118,Volta,West,Express,Health and beauty,Personal Care,Aichun Beauty Essential Oil,540.07,48.14,5,2748.49,Delivered,1,,62,9
2017-05-10,78,2017-05-25,238,Western,Central,Standard Delivery,Electronics,Home Theatre,LG Soundbar,88.6,26.95,2,204.15,Returned,1,Arrived Late,44,15
2015-10-16,79,2015-10-24,366,Weija,North,Standard Delivery,Home and Office,Furniture,8 Cubes Plastic Wardrobe,410.65,47.43,1,458.08,Delivered,2,,20,8
2019-12-13,80,2019-12-29,391,Greater Accra,East,Standard Delivery,Home and Office,Stationery,Parker Pen,634.84,43.94,4,2583.3,Delivered,1,,27,16
2018-01-12,81,2018-01-22,805,Oti,North,Shipped from Abroad,Electronics,Digital Cameras,Sony Alpha a6000,1021.91,26.07,4,4113.71,Returned,2,Changed Mind,47,10
2018-12-11,82,2018-12-20,396,Western,Central,Standard Delivery,Phones and Tablet,Tablets,Amazon Fire HD 8 Kids Tablet,191.72,32.85,4,799.73,Returned,1,Not as expected,49,9
2020-03-31,83,2020-04-04,588,Western,North,Express,Phones and Tablet,Tablets,Amazon Fire HD 8 Kids Tablet,720.2,5.39,1,725.59,Delivered,4,,19,4
2020-05-28,84,2020-06-17,848,Upper East,East,Express,Home and Office,Furniture,8 Cubes Plastic Wardrobe,1047.68,23.79,1,1071.47,Delivered,3,,22,20
2019-02-18,85,2019-02-23,927,Western,West,Standard Delivery,Health and beauty,Makeup,MAC Lipstick,249.35,8.71,4,1006.11,Delivered,3,,23,5
2017-11-06,86,2017-11-17,438,Western,Central,Express,Home and Office,Stationery,Moleskine Notebook,285.22,48.89,5,1474.99,Returned,1,Arrived Late,22,11
2016-05-25,87,2016-05-30,681,Western,Central,Standard Delivery,Fashion,Shoes,Nike Air Max,443.63,22.74,4,1797.26,Delivered,1,,42,5
2015-08-09,88,2015-08-23,422,Weija,West,Standard Delivery,Electronics,Digital Cameras,Nikon D3500,394.57,49.24,4,1627.52,Returned,2,Changed Mind,68,14
2018-09-09,89,2018-09-15,2,Oti,South,Express,Electronics,Digital Cameras,Sony Alpha a6000,882.84,19.11,5,4433.31,Delivered,5,,27,6
2018-06-16,90,2018-06-22,143,Western,South,Shipped from Abroad,Fashion,Accessories,Leather Wallet,56.18,13.96,2,126.32,Delivered,4,,34,6
2018-10-31,91,2018-11-12,827,Weija,North,Express,Fashion,Shoes,Adidas Ultraboost,296.87,6.42,2,600.16,Returned,1,Not as expected,41,12
2016-04-17,92,2016-05-03,192,Western,East,Express,Electronics,Digital Cameras,Canon EOS 600D 18MP CMOS DSLR,745.3,36.28,2,1526.88,Delivered,3,,33,16
2019-07-24,93,2019-07-29,374,Ashanti,East,Shipped from Abroad,Phones and Tablet,Tablets,iPad Air 4th Gen,949.53,42.28,2,1941.34,Returned,2,Changed Mind,62,5
2019-10-29,94,2019-11-03,191,Western,West,Standard Delivery,Phones and Tablet,Mobile phones,iPhone 12,473.84,47.48,3,1469.0,Cancelled,2,Changed Mind,69,5
2016-11-26,95,2016-12-01,506,Oti,South,Shipped from Abroad,Health and beauty,Makeup,MAC Lipstick,848.01,34.69,5,4274.74,Returned,1,Changed Mind,60,5
2018-05-21,96,2018-06-07,106,Greater Accra,West,Express,Health and beauty,Makeup,MAC Lipstick,53.4,23.0,4,236.6,Delivered,3,,27,17
2019-07-25,97,2019-07-30,692,Greater Accra,Central,Shipped from Abroad,Health and beauty,Personal Care,Avon Soft Musk Spray,1415.43,29.27,5,7106.42,Returned,2,Not as expected,20,5
2015-01-20,98,2015-01-28,774,Weija,North,Shipped from Abroad,Home and Office,Stationery,Parker Pen,858.17,46.88,1,905.05,Returned,2,Not as expected,66,8
2015-07-23,99,2015-07-26,267,Upper East,West,Express,Home and Office,Stationery,Moleskine Notebook,475.5,7.08,2,958.08,Delivered,3,,36,3
2019-07-11,100,2019-07-25,212,Western,Central,Standard Delivery,Home and Office,Furniture,Ergonomic Office Chair,1386.32,48.25,2,2820.89,Delivered,2,,49,14
2016-08-09,101,2016-08-28,518,Upper East,South,Shipped from Abroad,Home and Office,Furniture,Ergonomic Office Chair,218.08,11.98,3,666.22,Delivered,1,,57,19
2016-07-10,102,2016-07-28,767,Weija,South,Shipped from Abroad,Home and Office,Furniture,8 Cubes Plastic Wardrobe,36.02,16.22,1,52.24,Returned,1,Defective,67,18
2019-07-25,103,2019-08-07,916,Greater Accra,North,Express,Electronics,Home Theatre,LG Soundbar,541.62,31.15,4,2197.63,Delivered,1,,46,13
2018-02-08,104,2018-02-14,389,Ashanti,North,Express,Phones and Tablet,Mobile phones,Samsung Galaxy A02,1364.86,34.23,2,2763.95,Delivered,4,,26,6
2019-11-04,105,2019-11-13,24,Upper East,West,Shipped from Abroad,Home and Office,Furniture,8 Cubes Plastic Wardrobe,203.97,24.41,5,1044.26,Delivered,5,,51,9
2017-07-27,106,2017-08-16,635,Upper East,Central,Standard Delivery,Health and beauty,Makeup,MAC Lipstick,1179.56,28.19,2,2387.31,Returned,2,Arrived Late,63,20
2017-08-19,107,2017-08-27,601,Oti,East,Express,Electronics,Home Theatre,Sony 5.1 Home Theatre,504.59,11.61,1,516.2,Returned,1,Not as expected,44,8
2017-09-26,108,2017-10-13,164,Volta,West,Shipped from Abroad,Health and beauty,Makeup,Maybelline Foundation,145.56,15.78,1,161.34,Delivered,2,,55,17
2017-07-20,109,2017-08-04,59,Volta,South,Express,Phones and Tablet,Tablets,Amazon Fire HD 8 Kids Tablet,722.52,28.7,3,2196.26,Delivered,2,,32,15
2017-01-22,110,2017-01-29,265,Oti,East,Express,Fashion,Clothing,100% Cotton 4 Piece T-Shirts,1458.31,44.03,2,2960.65,Returned,2,Not as expected,54,7
2019-02-26,111,2019-03-18,560,Upper East,North,Express,Fashion,Clothing,100% Cotton 4 Piece T-Shirts,1166.66,25.64,5,5858.94,Delivered,3,,21,20
2015-03-31,112,2015-04-08,56,Volta,East,Express,Phones and Tablet,Tablets,Amazon Fire HD 8 Kids Tablet,605.12,38.5,5,3064.1,Cancelled,2,Changed Mind,40,8
2016-08-06,113,2016-08-26,566,Oti,South,Shipped from Abroad,Fashion,Accessories,Leather Wallet,572.23,5.03,4,2293.95,Delivered,1,,29,20
2015-01-08,114,2015-01-24,276,Western,North,Express,Electronics,Digital Cameras,Canon EOS 600D 18MP CMOS DSLR,441.33,44.73,4,1810.05,Delivered,2,,35,16
2020-08-09,115,2020-08-15,341,Upper East,North,Standard Delivery,Home and Office,Furniture,Ergonomic Office Chair,1092.23,20.77,4,4389.69,Returned,2,Defective,48,6
2019-08-21,116,2019-08-31,83,Ashanti,South,Express,Fashion,Accessories,Leather Wallet,914.86,38.76,1,953.62,Delivered,1,,27,10
2016-11-16,117,2016-12-02,261,Weija,West,Express,Electronics,Smartwatches,Samsung Galaxy Watch 3,873.08,49.9,3,2669.14,Delivered,5,,51,16
2015-02-17,118,2015-02-22,322,Volta,South,Standard Delivery,Home and Office,Furniture,8 Cubes Plastic Wardrobe,1094.55,29.39,4,4407.59,Cancelled,2,Arrived Late,69,5
2015-10-07,119,2015-10-15,874,Ashanti,West,Standard Delivery,Phones and Tablet,Mobile phones,Samsung Galaxy A02,680.57,49.0,4,2771.28,Returned,2,Arrived Late,30,8
2018-03-04,120,2018-03-24,954,Volta,North,Standard Delivery,Health and beauty,Personal Care,Avon Soft Musk Spray,1229.2,25.12,5,6171.12,Returned,2,Defective,66,20
2015-03-16,121,2015-03-22,456,Weija,East,Express,Home and Office,Stationery,Moleskine Notebook,1373.4,7.99,5,6874.99,Delivered,3,,55,6
2018-05-27,122,2018-06-05,776,Greater Accra,North,Express,Health and beauty,Personal Care,Avon Soft Musk Spray,845.09,43.22,5,4268.67,Delivered,2,,46,9
2017-01-20,123,2017-01-24,932,Greater Accra,East,Standard Delivery,Fashion,Shoes,Adidas Ultraboost,1004.13,23.18,3,3035.57,Delivered,3,,34,4
2016-09-05,124,2016-09-21,94,Ashanti,South,Standard Delivery,Fashion,Accessories,Polarized Sunglasses,1145.0,19.45,5,5744.45,Delivered,5,,50,16
2018-10-27,125,2018-11-01,330,Oti,South,Standard Delivery,Home and Office,Stationery,Moleskine Notebook,1402.76,9.84,2,2815.36,Delivered,1,,48,5
2019-10-20,126,2019-10-28,88,Western,North,Shipped from Abroad,Health and beauty,Makeup,MAC Lipstick,646.83,34.16,3,1974.65,Returned,2,Not as expected,33,8
2020-06-11,127,2020-06-17,593,Greater Accra,South,Shipped from Abroad,Fashion,Accessories,Polarized Sunglasses,84.02,43.46,4,379.54,Returned,2,Not as expected,28,6
2018-09-13,128,2018-09-17,242,Oti,Central,Standard Delivery,Electronics,Digital Cameras,Sony Alpha a6000,1062.32,35.19,1,1097.51,Delivered,3,,56,4
2015-07-28,129,2015-08-06,235,Oti,Central,Standard Delivery,Health and beauty,Personal Care,Aichun Beauty Essential Oil,1047.11,42.63,5,5278.18,Delivered,4,,40,9
2018-08-20,130,2018-08-29,251,Weija,South,Express,Phones and Tablet,Mobile phones,iPhone 12,553.85,10.46,5,2779.71,Cancelled,2,Arrived Late,50,9
2020-01-23,131,2020-02-06,210,Oti,West,Express,Home and Office,Stationery,Parker Pen,892.25,34.58,1,926.83,Delivered,5,,53,14
2017-07-28,132,2017-08-10,175,Upper East,South,Shipped from Abroad,Phones and Tablet,Tablets,Amazon Fire HD 8 Kids Tablet,1178.92,16.7,3,3553.46,Delivered,5,,28,13
2018-10-02,133,2018-10-20,884,Weija,Central,Standard Delivery,Home and Office,Stationery,Parker Pen,1423.97,26.14,3,4298.05,Delivered,2,,66,18
2020-08-10,134,2020-08-25,947,Oti,East,Express,Phones and Tablet,Tablets,Amazon Fire HD 8 Kids Tablet,1470.65,5.89,4,5888.49,Returned,1,Not as expected,40,15
2017-07-20,135,2017-07-29,732,Volta,East,Standard Delivery,Phones and Tablet,Mobile phones,Samsung Galaxy A02,866.88,41.43,3,2642.07,Delivered,1,,69,9
2015-07-24,136,2015-08-13,542,Upper East,West,Express,Electronics,Digital Cameras,Nikon D3500,441.44,26.9,3,1351.22,Delivered,3,,39,20
2019-12-13,137,2020-01-01,89,Western,North,Shipped from Abroad,Fashion,Clothing,Men's Denim Jacket,568.67,19.81,4,2294.49,Delivered,2,,68,19
2020-12-19,138,2021-01-01,495,Ashanti,East,Shipped from Abroad,Electronics,Smartwatches,Samsung Galaxy Watch 3,308.8,19.29,1,328.09,Delivered,1,,65,13
2016-11-24,139,2016-12-03,66,Western,South,Shipped from Abroad,Health and beauty,Makeup,Maybelline Foundation,864.16,24.12,2,1752.44,Cancelled,1,Arrived Late,36,9
2020-10-13,140,2020-10-20,382,Upper East,West,Shipped from Abroad,Home and Office,Stationery,Moleskine Notebook,193.87,16.14,1,210.01,Delivered,5,,37,7
2016-11-06,141,2016-11-09,22,Western,West,Shipped from Abroad,Phones and Tablet,Mobile phones,iPhone 12,202.29,24.57,1,226.86,Delivered,2,,25,3
2016-09-22,142,2016-10-11,29,Greater Accra,East,Standard Delivery,Fashion,Clothing,100% Cotton 4 Piece T-Shirts,24.69,23.86,2,73.24,Delivered,4,,67,19
2018-03-25,143,2018-04-12,713,Greater Accra,North,Express,Phones and Tablet,Tablets,Amazon Fire HD 8 Kids Tablet,1441.02,35.58,1,1476.6,Returned,2,Defective,66,18
2019-01-17,144,2019-01-23,731,Ashanti,West,Express,Phones and Tablet,Mobile phones,Samsung Galaxy A02,230.2,5.24,4,926.04,Delivered,1,,50,6
2015-05-25,145,2015-06-14,779,Volta,Central,Shipped from Abroad,Home and Office,Stationery,Moleskine Notebook,991.67,47.38,3,3022.39,Delivered,1,,33,20
2018-07-28,146,2018-08-03,885,Ashanti,South,Standard Delivery,Health and beauty,Personal Care,Aichun Beauty Essential Oil,848.88,16.3,5,4260.7,Delivered,3,,40,6
2016-01-15,147,2016-02-04,937,Greater Accra,North,Express,Phones and Tablet,Mobile phones,Samsung Galaxy A02,1455.35,48.41,3,4414.46,Delivered,1,,60,20
2020-06-06,148,2020-06-24,746,Upper East,Central,Shipped from Abroad,Electronics,Smartwatches,Samsung Galaxy Watch 3,46.5,34.32,3,173.82,Delivered,4,,64,18
2018-07-06,149,2018-07-22,645,Ashanti,South,Shipped from Abroad,Phones and Tablet,Tablets,Amazon Fire HD 8 Kids Tablet,998.64,49.38,5,5042.58,Cancelled,2,Arrived Late,51,16
2018-12-09,150,2018-12-18,344,Volta,East,Shipped from Abroad,Health and beauty,Makeup,Maybelline Foundation,84.67,7.76,2,177.1,Delivered,4,,21,9
2018-05-22,151,2018-06-05,894,Greater Accra,North,Shipped from Abroad,Home and Office,Furniture,8 Cubes Plastic Wardrobe,718.83,14.67,2,1452.33,Delivered,3,,21,14
2019-09-16,152,2019-09-20,287,Volta,South,Shipped from Abroad,Home and Office,Stationery,Moleskine Notebook,1430.55,15.08,2,2876.18,Delivered,3,,28,4
2018-03-31,153,2018-04-05,420,Oti,South,Shipped from Abroad,Fashion,Shoes,Adidas Ultraboost,1137.49,11.48,2,2286.46,Returned,1,Changed Mind,37,5
2019-08-04,154,2019-08-14,653,Ashanti,North,Standard Delivery,Home and Office,Furniture,Ergonomic Office Chair,1407.11,17.1,3,4238.43,Delivered,5,,28,10
2019-09-05,155,2019-09-17,398,Ashanti,West,Standard Delivery,Phones and Tablet,Mobile phones,Samsung Galaxy A02,890.64,22.31,1,912.95,Delivered,2,,50,12
2018-05-26,156,2018-06-11,479,Oti,Central,Express,Health and beauty,Personal Care,Aichun Beauty Essential Oil,929.06,16.05,1,945.11,Cancelled,1,Changed Mind,48,16
2017-03-15,157,2017-03-21,356,Weija,South,Shipped from Abroad,Phones and Tablet,Mobile phones,Infinix Smart HD X612,455.05,29.22,4,1849.42,Returned,2,Arrived Late,53,6
2015-04-08,158,2015-04-21,333,Ashanti,East,Express,Fashion,Clothing,100% Cotton 4 Piece T-Shirts,788.59,40.71,5,3983.66,Delivered,1,,18,13
2020-12-08,159,2020-12-17,669,Volta,West,Shipped from Abroad,Electronics,Smartwatches,Apple Watch Series 6,51.11,16.01,1,67.12,Delivered,2,,34,9
2018-12-20,160,2018-12-22,106,Volta,South,Standard Delivery,Health and beauty,Personal Care,Avon Soft Musk Spray,889.21,24.31,4,3581.15,Cancelled,2,Defective,27,2
2020-04-10,161,2020-04-14,990,Weija,North,Express,Phones and Tablet,Mobile phones,Samsung Galaxy A02,139.36,34.87,4,592.31,Delivered,4,,22,4
2019-01-22,162,2019-01-26,600,Oti,West,Standard Delivery,Electronics,Smartwatches,Samsung Galaxy Watch 3,1111.95,39.06,2,2262.96,Delivered,4,,31,4
